epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,701.832,1.24788,0.53672,1.1423,0.99506,1,0.995,0.72791,1.18698,0.44217,1.15977,0.00131218,0.00131218,0.00131218
45,717.33,1.27371,0.54691,1.17142,0.99187,1,0.995,0.71614,1.13081,0.43536,1.14059,0.00130393,0.00130393,0.00130393
46,732.849,1.26474,0.55247,1.16521,0.99448,1,0.995,0.70316,1.14515,0.41454,1.1527,0.00129568,0.00129568,0.00129568
47,748.224,1.28738,0.55188,1.17964,0.99245,1,0.995,0.70733,1.18051,0.44266,1.16775,0.00128742,0.00128742,0.00128742
48,763.73,1.29928,0.54237,1.16201,0.99383,1,0.995,0.7012,1.14677,0.41575,1.15446,0.00127917,0.00127917,0.00127917
49,779.062,1.28721,0.54576,1.17005,0.9922,1,0.995,0.69355,1.13542,0.41589,1.13425,0.00127092,0.00127092,0.00127092
50,793.973,1.26094,0.5224,1.15945,0.99471,1,0.995,0.70445,1.17553,0.40308,1.14953,0.00126267,0.00126267,0.00126267
51,808.922,1.2523,0.52873,1.15494,0.99206,1,0.995,0.73165,1.2048,0.40396,1.17911,0.00125442,0.00125442,0.00125442
52,825.808,1.25372,0.53851,1.14477,0.99027,1,0.995,0.73578,1.13434,0.41097,1.13131,0.00124617,0.00124617,0.00124617
53,840.757,1.26417,0.52825,1.15599,0.99389,1,0.995,0.7253,1.11961,0.40547,1.1243,0.00123791,0.00123791,0.00123791
54,855.962,1.27859,0.53502,1.17269,0.9907,1,0.995,0.73043,1.14635,0.40655,1.14487,0.00122966,0.00122966,0.00122966
55,870.908,1.23841,0.53261,1.13667,0.99121,1,0.995,0.73188,1.12915,0.41715,1.13225,0.00122141,0.00122141,0.00122141
56,885.697,1.24429,0.52051,1.13633,0.99557,1,0.995,0.70457,1.19593,0.44227,1.17511,0.00121316,0.00121316,0.00121316
57,900.747,1.28282,0.5289,1.1606,0.99008,1,0.995,0.687,1.204,0.4178,1.15787,0.00120491,0.00120491,0.00120491
58,915.846,1.25645,0.52785,1.15677,0.99521,1,0.995,0.68703,1.18403,0.40436,1.15427,0.00119666,0.00119666,0.00119666
59,930.903,1.22691,0.51144,1.13326,0.99538,1,0.995,0.72305,1.13027,0.40469,1.12779,0.0011884,0.0011884,0.0011884
60,945.911,1.22314,0.51679,1.15449,0.99506,1,0.995,0.73231,1.10742,0.3788,1.1066,0.00118015,0.00118015,0.00118015
61,960.833,1.20929,0.51337,1.14669,0.99358,1,0.995,0.69898,1.20588,0.4228,1.16026,0.0011719,0.0011719,0.0011719
62,975.866,1.22469,0.52746,1.13838,0.99346,1,0.995,0.71277,1.13042,0.40758,1.14031,0.00116365,0.00116365,0.00116365
63,991.373,1.21792,0.51242,1.13616,0.99414,1,0.995,0.72335,1.11598,0.3995,1.1277,0.0011554,0.0011554,0.0011554
64,1006.68,1.22369,0.5032,1.12434,0.9948,1,0.995,0.70761,1.19861,0.40727,1.15593,0.00114715,0.00114715,0.00114715
65,1022.34,1.20561,0.52024,1.13957,0.99184,1,0.995,0.70519,1.21307,0.41646,1.16529,0.00113889,0.00113889,0.00113889
66,1037.77,1.23105,0.51542,1.12042,0.99405,1,0.995,0.69318,1.21241,0.40752,1.16927,0.00113064,0.00113064,0.00113064
67,1052.96,1.22025,0.51861,1.13992,0.9939,1,0.995,0.70057,1.17755,0.42202,1.13425,0.00112239,0.00112239,0.00112239
68,1070.13,1.20373,0.49712,1.14342,0.99395,1,0.995,0.69885,1.22995,0.42513,1.16537,0.00111414,0.00111414,0.00111414
69,1085.45,1.21935,0.50723,1.13503,1,1,0.995,0.70554,1.22185,0.42461,1.16251,0.00110589,0.00110589,0.00110589
70,1100.88,1.21987,0.50706,1.13196,0.99381,1,0.995,0.72305,1.1884,0.41291,1.15861,0.00109764,0.00109764,0.00109764
71,1116.12,1.20789,0.50621,1.13294,0.99513,1,0.995,0.70894,1.20226,0.40372,1.16292,0.00108938,0.00108938,0.00108938
72,1131.84,1.18959,0.49933,1.12979,0.99328,1,0.995,0.69709,1.20481,0.40565,1.15399,0.00108113,0.00108113,0.00108113
73,1147.21,1.19855,0.49434,1.12579,0.99195,1,0.995,0.70967,1.15577,0.40946,1.13535,0.00107288,0.00107288,0.00107288
74,1162.69,1.17798,0.49516,1.13315,0.99178,1,0.995,0.67738,1.21858,0.43191,1.16911,0.00106463,0.00106463,0.00106463
75,1178.74,1.18364,0.49135,1.11689,0.99438,1,0.995,0.701,1.19498,0.40597,1.15558,0.00105638,0.00105638,0.00105638
76,1194.28,1.17214,0.50122,1.11631,0.99501,1,0.995,0.72541,1.07203,0.39716,1.1261,0.00104813,0.00104813,0.00104813
77,1210.06,1.17622,0.49808,1.12834,0.99476,1,0.995,0.72532,1.13103,0.40268,1.10949,0.00103987,0.00103987,0.00103987
78,1225.56,1.2025,0.50648,1.1318,0.99536,1,0.995,0.72294,1.17561,0.40638,1.1475,0.00103162,0.00103162,0.00103162
79,1240.79,1.16466,0.50269,1.11648,0.99356,1,0.995,0.7185,1.17885,0.39836,1.16332,0.00102337,0.00102337,0.00102337
80,1256.1,1.1796,0.5035,1.11556,0.99456,1,0.995,0.71324,1.17784,0.4057,1.15678,0.00101512,0.00101512,0.00101512
81,1271.61,1.1575,0.48931,1.11774,0.99731,1,0.995,0.6947,1.21504,0.41125,1.17761,0.00100687,0.00100687,0.00100687
82,1286.77,1.1479,0.49492,1.109,0.99758,1,0.995,0.7197,1.12869,0.40363,1.1232,0.000998616,0.000998616,0.000998616
83,1302.29,1.17144,0.49683,1.12243,0.99366,1,0.995,0.71991,1.11875,0.38566,1.13245,0.000990365,0.000990365,0.000990365
84,1319.2,1.15031,0.49653,1.10587,0.9937,1,0.995,0.69133,1.19967,0.4145,1.16809,0.000982113,0.000982113,0.000982113
85,1334.68,1.16012,0.49015,1.11299,0.99597,1,0.995,0.7302,1.12734,0.39908,1.12104,0.000973861,0.000973861,0.000973861
86,1350.15,1.16974,0.498,1.11618,0.99403,1,0.995,0.69548,1.19059,0.39289,1.15278,0.00096561,0.00096561,0.00096561
87,1365.93,1.15069,0.48088,1.0977,1,1,0.995,0.72733,1.17984,0.39873,1.13614,0.000957358,0.000957358,0.000957358
88,1381.31,1.12333,0.47494,1.09447,0.99616,1,0.995,0.71528,1.22659,0.42358,1.14535,0.000949106,0.000949106,0.000949106
89,1396.42,1.13843,0.47782,1.11485,0.997,1,0.995,0.71414,1.19255,0.42903,1.14072,0.000940855,0.000940855,0.000940855
90,1411.39,1.13368,0.48534,1.09042,0.99763,1,0.995,0.68311,1.245,0.41349,1.17011,0.000932603,0.000932603,0.000932603
91,1426.46,1.11179,0.48594,1.10011,0.99432,1,0.995,0.69653,1.16712,0.40839,1.15891,0.000924352,0.000924352,0.000924352
92,1441.74,1.1303,0.48384,1.08492,0.9949,1,0.995,0.71341,1.18402,0.41789,1.16494,0.0009161,0.0009161,0.0009161
93,1456.94,1.1025,0.47914,1.07583,0.9951,1,0.995,0.65286,1.31751,0.42547,1.23218,0.000907848,0.000907848,0.000907848
94,1472.32,1.14409,0.4814,1.10454,0.994,1,0.995,0.70119,1.22259,0.40253,1.18834,0.000899597,0.000899597,0.000899597
95,1487.57,1.09003,0.46421,1.08157,0.99349,1,0.995,0.6976,1.18601,0.395,1.16483,0.000891345,0.000891345,0.000891345
96,1502.87,1.09712,0.47698,1.07902,0.9943,1,0.995,0.68744,1.2199,0.39073,1.16352,0.000883093,0.000883093,0.000883093
97,1518.35,1.10227,0.47621,1.08476,0.9977,1,0.995,0.69753,1.22072,0.39779,1.17927,0.000874842,0.000874842,0.000874842
98,1533.75,1.10911,0.4748,1.10151,0.99231,1,0.995,0.65589,1.23136,0.40764,1.18973,0.00086659,0.00086659,0.00086659
99,1549.39,1.09148,0.47507,1.07126,0.99362,1,0.995,0.66255,1.30078,0.42512,1.19359,0.000858338,0.000858338,0.000858338
100,1564.96,1.10349,0.47213,1.07498,0.99282,1,0.995,0.65479,1.34041,0.42005,1.21389,0.000850087,0.000850087,0.000850087
101,1582.61,1.08569,0.47486,1.07022,0.99452,1,0.995,0.66741,1.22479,0.41141,1.17553,0.000841835,0.000841835,0.000841835
102,1598.03,1.08298,0.46483,1.07036,0.99522,1,0.995,0.67599,1.23365,0.42053,1.19176,0.000833583,0.000833583,0.000833583
103,1613.17,1.06626,0.47304,1.05643,0.99766,1,0.995,0.65023,1.24363,0.4304,1.19092,0.000825332,0.000825332,0.000825332
104,1628.29,1.0738,0.4613,1.07243,0.99297,1,0.995,0.70788,1.188,0.40275,1.16062,0.00081708,0.00081708,0.00081708
105,1643.51,1.05846,0.46577,1.05952,0.99387,1,0.995,0.67169,1.19782,0.42888,1.19418,0.000808828,0.000808828,0.000808828
106,1658.96,1.08273,0.47095,1.07091,0.99465,1,0.995,0.67248,1.213,0.39884,1.16916,0.000800577,0.000800577,0.000800577
