epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
186,2907.28,0.76947,0.36659,0.94647,0.99484,1,0.995,0.64738,1.30081,0.40724,1.27555,0.000140445,0.000140445,0.000140445
187,2922.92,0.77065,0.36647,0.94216,0.99445,1,0.995,0.65489,1.29115,0.39815,1.27043,0.000132193,0.000132193,0.000132193
188,2938.68,0.77095,0.36435,0.93753,0.99466,1,0.995,0.65502,1.31863,0.39796,1.29028,0.000123941,0.000123941,0.000123941
189,2954.05,0.77155,0.37087,0.94307,0.99496,1,0.995,0.64245,1.32417,0.39932,1.29322,0.00011569,0.00011569,0.00011569
190,2969.75,0.77305,0.36619,0.94542,0.99464,1,0.995,0.6587,1.31941,0.39337,1.27955,0.000107438,0.000107438,0.000107438
191,2987.27,0.78933,0.35195,0.96988,0.99462,1,0.995,0.6683,1.27977,0.38617,1.23622,9.91865e-05,9.91865e-05,9.91865e-05
192,3002.2,0.73247,0.3394,0.94967,0.99523,1,0.995,0.65256,1.31123,0.40007,1.26104,9.09349e-05,9.09349e-05,9.09349e-05
193,3017.07,0.74367,0.34276,0.95599,0.99469,1,0.995,0.6613,1.32502,0.40687,1.26899,8.26832e-05,8.26832e-05,8.26832e-05
194,3031.95,0.72062,0.32695,0.94746,0.9945,1,0.995,0.67544,1.30354,0.3977,1.25663,7.44316e-05,7.44316e-05,7.44316e-05
195,3046.76,0.71151,0.32991,0.95396,0.99493,1,0.995,0.65787,1.31246,0.40014,1.26189,6.61799e-05,6.61799e-05,6.61799e-05
196,3061.64,0.734,0.33586,0.95808,0.99489,1,0.995,0.66221,1.32819,0.40398,1.26705,5.79283e-05,5.79283e-05,5.79283e-05
197,3076.54,0.69532,0.32628,0.94443,0.99467,1,0.995,0.66798,1.32285,0.4036,1.26784,4.96766e-05,4.96766e-05,4.96766e-05
198,3091.36,0.70505,0.32832,0.94095,0.99475,1,0.995,0.66608,1.3281,0.39946,1.27299,4.1425e-05,4.1425e-05,4.1425e-05
199,3106.45,0.7107,0.326,0.94917,0.99454,1,0.995,0.66972,1.31521,0.40307,1.26172,3.31733e-05,3.31733e-05,3.31733e-05
200,3122.97,0.68739,0.32106,0.9406,0.99461,1,0.995,0.67062,1.325,0.4004,1.26532,2.49217e-05,2.49217e-05,2.49217e-05
